Vocab,Collocation 1,Collocation 2,Collocation 3
crisis,a cash crisis,be faced with a crisis,in times of crisis
complain,complain bitterly,have cause to complain,complain about
countryside,the beautiful countryside,wander the countryside,the green countryside
bowl,a food bowl,eat from a bowl,an empty bowl
congress,an international congress,attend a congress,a member of congress
ocean,the tropical ocean,the ocean floor,an ocean liner
fat,fat chance,grow fatter and fatter,a big fat book
vast,vast amounts of money,in vast numbers,a vast improvement in
nervous,You're making me nervous.,say with a nervous laugh,suffer a nervous breakdown
widely,widely known,wide of the mark,leave the door wide open
rapidly,make a rapid recovery,in rapid succession,experience rapid growth
equipment,state-of-the-art equipment,laboratory equipment,a piece of equipment
dish,a cooking dish,wash the dishes,favorite dish
equally,equal in every way,be born equal,be of equal value
status,high status,status symbol,marital status
beneath,sink beneath the waves,buried beneath a pile of leaves,considers the job beneath him
satisfy,satisfy all the requirements,satisfy the needs of,be satisfied with
luck,good luck,bring me luck,better luck next time
novel,a paperback novel,write a novel,a best-selling novel
tourist,Japanese tourists,attract tourists,the tourist industry
enable,enable children to learn,enable easier access to,better enable you to use them
kick,a hard kick,get a kick out of,kick a door down
personality,an outgoing personality,a personality type,express your personality
swim,go for a swim,learn to swim,swim across the lake
merely,We're merely good friends.,He's a mere child.,be a mere formality
evil,the evil effects of racism,fight evil,between good and evil
concert,a live concert,go to a concert,a concert performance
scream,a loud scream,scream out in terror,scream your head off
apparently,become apparent to me,painfully apparent,for no apparent reason
fairly,a fairly large garden,speak English fairly well,be treated fairly
crew,a crew member,cabin crew,an experienced crew
entirely,be entirely different,consist entirely of,was not entirely clear
cigarette,a pack of cigarettes,light a cigarette,smoke a cigarette
connection,a strong connection,establish a connection,a business connection
closely,watched him closely,be closely controlled,work closely with
roof,a tiled roof,a roof garden,under the same roof
annual,an annual report,an annual holiday,annual sales
etc.,sell cards calendars etc.,about the contract pay etc.,Tom John Mary etc. etc.
spell,a brief spell,a cold spell,a magic spell
advance,a rapid advance,scientific advance,a cash advance
developing,developing countries,develop skills,develop into a big city
contribute,generously contribute to,a contributing factor,have a lot to contribute
gesture,an angry gesture,a friendly gesture,make a gesture
tape,a tape recording,a tape measure,play a tape
soul,the human soul,bare your soul,own a person body and soul
perfectly,work perfectly,perfectly legal,perfectly normal
division,a fundamental division,long division,a deep division
pupil,a bright pupil,pupil performance,teach pupils
election,a free election,a presidential election,hold elections
defense,a natural defense,an effective defense,a defense lawyer
nearby,live in a nearby town,live nearby,from nearby residents
climate,a mild climate,climate change,the current climate
otherwise,think otherwise,suggest otherwise,be otherwise engaged
context,the broad context,put into context,a meaningful context
championship,the international championship,take part in a championship,win the championship
revolution,a cultural revolution,put down a revolution,bring about a revolution
actor,a talented actor,the actor performs,a supporting actor
recall,if I recall correctly,can you recall exactly what,as I recall
rabbit,hunt rabbits,rabbit skin,the rabbit hops
bother,don't want to cause you any bother,no bother,a spot of bother
combination,a winning combination,a unique combination,use in combination with
elderly,an elderly man,an elderly patient,a place for the elderly
declare,declare openly,declare war,I declare you man and wife.
entire,waste an entire day,wipe out the entire population,in my entire life
obvious,appear obvious to everyone,blatantly obvious,for obvious reasons
commercial,television commercials,make a commercial,appear in a commercial
bury,be buried alive,bury underground,get buried under a pile of papers
willing,be perfectly willing to help,be more than willing to,an army of willing helpers
version,the up-to-date version,the authorized version,release the latest version of
introduction,a brief introduction to the course,make the introductions,a letter of introduction
exhibition,be on exhibition at the museum,visit an exhibition,an exhibition of his work
poet,a famous poet,inspire poets,an extremely gifted poet
package,unwrap a package,put together a package,a software package
broad,a person of broad scope,a broad-minded person,broad shoulders
crop,a cash crop,gather in a bumper crop,harvest a crop
deliver,deliver free of charge,deliver by hand,deliver a baby
plenty,get plenty of fresh air,have plenty to talk about,have plenty of time
seed,a seed packet,plant seeds,the top seed
mostly,many people there mostly women,We're mostly out on Sundays.,The country is mostly desert.
afford,can barely afford to pay,can't afford any more delays,can ill afford the time
stair,climb the stairs,the top of the stairs,a flight of stairs
concentrate,concentrate on your homework,concentrate your efforts on,Relaxing concentrates the mind.
researcher,a post-graduate researcher,researchers in this field,a team of researchers
originally,was originally circular in shape,than we had originally hoped,comes originally from Tokyo
besides,for other reasons besides money,have no family besides him,and much more besides
pure,be pure in heart,pure gold,it was pure chance that
surprising,find it surprising,was not altogether surprising,was not at all surprising
layer,shine through a thin layer of cloud,the hole in the ozone layer,wear several layers of clothing
sink,a kitchen sink,unblock the sink,sink like a stone
acquire,acquire a skill,newly acquired,acquire a language
panel,a review panel,a panel beater,a panel of experts
typical,a typical example of,a typical Japanese dish,is typical of his work
yours,a friend of yours,that book of yours,it's yours for the asking
reserve,cash reserves,a nature reserve,draw upon reserves
advise,legally advise,would strongly advise against,would be ill advised to
emotion,deep emotion,be filled with emotion,a display of emotion
prime,Prime minister,a prime location,prime a pump
coal,a piece of coal,a coal mine,red-hot coals
mirror,a bathroom mirror,look at yourself in the mirror,break a mirror
appointment,an urgent appointment,an executive appointment,make an appointment
tail,wag a tail,from nose to tail,a tail section
broken,get broken,badly broken,a broken promise
darkness,complete darkness,darkness descended,under the cover of darkness
emotional,tend to get emotional,provide emotional support for,make an emotional appeal for
apple,apple cider,apple pie,an apple core
fund,an investment fund,insufficient funds,a fund raiser
burst,a sudden burst of,burst into the room,be bursting with ideas
stomach,work on an empty stomach,have a stomachache,strengthen your stomach muscles
appreciate,I'd appreciate it if you,deeply appreciate,is not fully appreciated
indicate,indicated his willingness to,Our data indicates that,Research indicates that
autumn,autumn leaves,autumn rain,glow with autumn colors
fashion,the latest fashion,a fashion model,come into fashion
lawyer,practice as a lawyer,a corporate lawyer,a divorce lawyer
gentle,a gentle voice,a gentle form of exercise,be gentle with her
alternative,an acceptable alternative,offer an alternative,have little alternative but to
suggestion,a constructive suggestion,offer a suggestion,a suggestion box for bright ideas
sugar,cut sugar out of my diet,elevation of blood sugar levels,contains no added sugar
pleased,I am pleased to announce that,be very pleased with this offer,express how pleased I am
sheep,a stray sheep,a sheep dog,a new breed of sheep
blind,totally blind from birth,as blind as a bat,guide dogs for the blind
mental,the causes of mental illness,do a quick bit of mental arithmetic,the rights of the mentally ill
shift,a dramatic shift in the policy,a shift worker,shift the blame onto others
code,break the code,a dress code for civil servants,a code of ethics
faith,blind faith,have no faith in the current system,a total act of faith
celebrate,celebrate the occasion,be celebrated with great pomp and ceremony,celebrate a birthday
asleep,fall asleep,be fast asleep,be sound asleep
crazy,drive someone crazy,be crazy with worry,go crazy
institution,a government institution,an educational institution,a financial institution
combine,successfully combine the old with the new,combine against a common enemy,combine comfort with convenience
bath,have a long hot bath,a bath towel,a long soak in a hot bath
chicken,fresh chicken,a roast chicken,free-range chicken
warning,a storm warning,a warning sign,an urgent warning
illness,a fatal illness,suffer from an illness,treat an illness
identity,discover the identity of,a case of mistaken identity,go through an identity crisis
tap,tap water,the kitchen tap,have all the information on tap
agreement,a formal agreement,negotiate an agreement,the terms of the agreement
deaf,be born deaf,turn a deaf ear to the rumor,be deaf to the request
tone,the tone of the letter,change his tone,say in a neutral tone of voice
confidence,gain in confidence,a lack of confidence in the self,lose confidence
bedroom,the master bedroom,a three-bedroom house,share a bedroom
historical,a historical monument,a historical figure,in their historical context
prisoner,a life prisoner,capture prisoners,a prisoner of conscience
truly,a truly magical feeling,be truly in love,a truly memorable occasion
frequently,come frequently,a relatively frequent visitor to,at frequent intervals
examination,an entrance examination,study for an examination,a scientific examination of nature
string,tie a string,a guitar string,tie them with a piece of string
nevertheless,but nevertheless he looks happy,Nevertheless she went alone.,But she did it nevertheless.
chest,chest muscles,a chest x-ray,a hairy chest
employee,a salaried employee,lay off employees,employee benefits
mystery,a complete mystery,solve a mystery,a great unsolved mystery
wolf,a lone wolf,a pack of wolves,a wolf in sheep's clothing
mass,go to Mass on Sundays,weapons of mass destruction,a mass of snow and rocks
arrangement,an alternative arrangement,a business arrangement,make an arrangement
tower,a high-rise tower,a cooling tower,an observation tower
dirty,do the dirty jobs,play a dirty trick on him,get your hands dirty
normal,take longer than normal,return to normal,under normal circumstances
lord,a feudal lord,serve his lord,the lord of the manor
border,close the border to tourists,cross the border,a border dispute
cake,a home-made cake,a chocolate cake,make a cake for his birthday
advanced,technologically advanced,far advanced,an advanced degree
deny,firmly deny the charge,publicly deny the rumor,there is no denying
consumer,potential consumers,protect consumers,consumer rights
wheel,the front wheels,sit behind the wheel,fall asleep at the wheel
sudden,a sudden change in the weather,a sudden death,all of a sudden
intelligence,of great intelligence,show high intelligence,gather intelligence
height,the maximum height,be arranged according to height,be afraid of heights
rough,the rough edges of her character,sleep rough on the streets,rough around the edges
mission,a fact-finding mission,a diplomatic mission,mission control
concentration,demand intense concentration,break his concentration,affect your powers of concentration
threat,a bomb threat,withdraw the threat,a potential threat
achievement,a great scientific achievement,a sense of achievement,a remarkable achievement
behave,behave well,behave irresponsibly,behave out of character
persuade,be difficult to persuade,be easily persuaded,did not take much persuading
stream,a stream of abuse,cross a stream,a constant stream of visitors
accord,reach an accord,sign a peace accord,be in accord with our policy
relief,an immense relief,express relief,breathe a sigh of relief
expand,expand their operations abroad,expand your knowledge,expand a short story into a novel
uniform,in regulation uniform,wear the school uniform,out of uniform
aunt,my aged aunt,a great-aunt,an aunt by marriage
strongly,feel very strongly about,be strongly advised to,strongly deny the rumor
grade,the final grades,graduate with excellent grades,a high grade of intelligence
estimate,make an estimate,an estimate based on,an approximate estimate
fool,make a fool of myself,be nobody's fool,make a fool of him
trace,find no trace of,discover traces of,vanish without a trace
clever,seems like a clever idea,be clever at repairing cars,be too clever for his own good
debate,a heated debate,a hotly debated issue,be the subject of extensive debate
leaf,autumn leaves,shed leaves,tea leaves
phrase,coin a phrase,an idiomatic phrase,a happy turn of phrase
bell,the church bell,the door bell,ring a bell
inch,not budge an inch,be only a few inches deep,escape death by an inch
inner,the President's inner circle,the Earth's inner core,the inner city
access,have easy access to the station,gain access to the information,the access road to the farm
wage,be paid on an hourly wage basis,earn a decent wage,their demand for a wage increase
rely,rely entirely on donations,rely on him for support,can always be relied on
jacket,a leather jacket,a suit jacket,inflate the life jacket
borrow,borrow heavily from the bank,borrow money from the bank,to borrow a phrase
laughter,a fit of laughter,roar with laughter,burst into laughter
childhood,a happy childhood,spend one's childhood,childhood memories
insect,insect repellent,an insect bite,winged insects
council,the U.N. Security Council,an advisory council,elect council members
vary,vary from country to country,vary in size,vary over time
educational,compulsory education,the education ministry,get a good education
comfort,dress for comfort not fashion,relax in comfort,too hot for comfort
export,the country's major export,an increase in exports,lift the ban on exports
explore,explore ways of,explore the possibility of,explore the ideas in more detail
princess,treat her like a princess,the Princess of Wales,a royal princess
management,efficient management of time,demand a change in management,a lack of management skills
financial,financial institutions,a financial success,financial advisors
decade,over the last three decades,a few decades ago,by the end of the decade
agency,a travel agency,a government agency,a recruitment agency
vegetable,fresh fruit and vegetables,eat plenty of green vegetables,organic vegetables
diary,put the date in your diary,keep a diary,write the incident in my diary
trap,fall into the trap of,get caught in a trap,walk into a trap
hungry,go hungry,All this talk is making me hungry.,be hungry for success
partly,This was partly because,is partly responsible for,was partly to blame
greatly,benefit greatly from,greatly increase,be greatly improved
presence,complain in the presence of,increase police presence,make your presence known
totally,be totally unacceptable,a totally different matter,a totally new language
define,the defining characteristics of,be clearly defined,be difficult to define
wedding,a wedding ceremony,an invitation to the wedding,a wedding anniversary
mouse,a laboratory mouse,with a click of a mouse,double click the mouse
remarkable,make remarkable progress,remarkable for its scenery,a remarkable achievement
junior,the people junior to me,junior staff,of my junior year
attractive,find it attractive,a very attractive offer,be attractive to young people
majority,the vast majority of patients,a majority decision,establish majority rule
forever,last forever,be lost forever,take forever to clean up
violence,a victim of domestic violence,resort to violence,an outbreak of racial violence
cheek,flushed cheeks,feel one's cheeks burning,a kiss on the cheek
property,guests' personal property,intellectual property,empty properties in the area
overcome,overcome financial difficulties,overcome their differences,be overcome with grief
cheese,cheddar cheese,cheese omelets,a cheese sandwich
impact,have a major impact on,the environmental impact of pollution,be damaged on impact
disaster,a nuclear disaster,is a recipe for disaster,the worst natural disaster
gap,fill a gap,a widening gap between them,bridge the gap between the two
murder,guilty of attempted murder,the brutal murder of a child,launch a murder investigation
chain,a bicycle chain,an island chain,a hotel chain
organize,organize a series of events,the threats of organized crime,get everything organized
valuable,his most valuable belongings,make a valuable contribution to,valuable advice for new students
stupid,make a stupid mistake,What a stupid thing to do!,make me feel stupid
credit,buy furniture on credit,have enough credits to graduate,deserve credit for
rare,is becoming increasingly rare,on rare occasions,like my steak rare
identify,identify the cause of,identify poverty with crime,easily identify with
orange,squeeze oranges,peel the oranges,chilled orange juice
mad,get mad at him,is driving me mad,I would go mad if
unknown,for some unknown reason,a fear of the unknown,remain unknown
kingdom,the United Kingdom,rule a kingdom,the animal kingdom
carbon,carbon atoms,carbon tax,carbon dioxide
silly,sound silly,make a lot of silly mistakes,ask silly questions
bow,give a graceful bow to,take a deep bow,a formal bow to the king
sigh,give a heavy sigh,let out a sigh of disappointment,breathe a sigh of relief
reporter,a newspaper reporter,talk to reporters,a freelance reporter
universe,the physical universe,live in a little universe of his own,explain the origins of the universe
household,the average household expenditure,make the company into a household name,perform household chores
throat,cut-throat competition,have a sore throat,clear your throat
repair,make repairs on the machine,be in need of repair,be still under repair
negative,answer in the negative,have a negative result,have a negative effect on
railway,a railway station,nationalize the railways,a high-speed railway
previous,the results of previous studies,in the previous year,have no previous convictions
muscle,strengthen your stomach muscles,develop muscle strength,relax sore muscles
policeman,the murder of a policeman,an off-duty policeman,The policeman arrested him.
musical,play a musical instrument,show musical ability,a wealth of musical talent
bend,a sharp bend in the road,a wide bend in the river,come around the bend at top speed
district,work in the business district,in a pleasant suburban district,in the rural districts of England
topic,a wide range of topics,cover such topics as,the main topic for discussion
eastern,the clash between Eastern and Western cultures,the former socialist countries of Eastern Europe,the eastern shore of the island
brush,give my hair a quick brush,brush your teeth,his first brush with the law
wealth,a wealth of information,the distribution of wealth,acquire wealth
vision,suffer loss of vision,be born with poor vision,outline his vision for the future
schedule,finish on schedule,work to a very tight schedule,be behind schedule
shirt,wear a shirt and tie to work,button up my shirt,iron my shirt
channel,a television channel,open channels of communication,work through diplomatic channels
tight,keep tight control on immigration,keep a tight hold on his hand,is a tight fit
assistant,a teaching assistant,hire an assistant,a personal assistant
contest,a close contest,compete in a contest,the electoral contest
debt,an enormous debt,owe a debt,be heavily in debt
blame,get the blame,take the blame,a share of the blame
democracy,the principles of democracy,the pro-democracy movement,along the road to democracy
rarely,very rarely complains,rarely if ever stays home,a rarely-performed play
constant,remain constant,a constant stream of visitors,keep in constant contact with
tough,make tough decisions,is very tough on my brother,have a tough time
winner,a Nobel prize winner,the lucky winner of the competition,announce the award winner
talent,show a talent for acting,have a natural talent for music,a man of many talents
march,Fascism is on the march again.,ban the protest march,march through the city to demonstrate against
device,invent a clever device for,full of new electronic devices,a device for detecting the gas
hunt,the hunt for the missing child,a treasure hunt,a ban on fox hunts
agriculture,promote sustainable agriculture,the effects of climatic change on agriculture,economically depend on agriculture
pale,look very pale and drawn,an elderly pale-faced man,pale blue curtains
imagination,stimulate your imagination,by any stretch of the imagination,show a lack of imagination
lonely,a lonely old man,feel lonely and depressed,lead a lonely life
pretend,pretend not to notice,pretend ignorance of the situation,go on pretending that it is OK
distinguish,distinguishing features,a long and distinguished career,distinguish between
electronic,store electronic data,new electronic devices,the electronics industry
friendship,as a gesture of friendship,develop a close friendship,form a deep and lasting friendship
potato,roast potatoes,potato chips,mashed potatoes
poverty,widespread poverty,combat poverty,on the poverty line
tale,enjoy making up tall tales,a fairy tale,an old folk tale
priest,a Catholic priest,become a priest,a high priest
flood,Heavy rains caused floods.,flood victims,the flood of refugees
graduate,graduate from medical school,college graduates,top graduates from the university
fault,is all your own fault,be at fault,an electrical fault in the engine
inform,inform you immediately,be required to inform them about,be pleased to inform you that
poetry,a selection of modern poetry,memorize a piece of poetry,write poetry in his spare time
witness,an eye witness to the robbery,appear as an expert witness,the key witness in the case
extent,know the true extent of,depend to a large extent on,is true to some extent
truck,a delivery truck,load a truck with medical supplies,a truck driver
protection,be under police protection,give good protection from the rain,provide protection against cancer
conference,a news conference,attend the conference,hold a conference on education
guilty,his guilty conscience,plead guilty to the charge,be found guilty of bribery
injury,suffer a serious injury,do yourself an injury,treat him for minor injuries
smooth,a very smooth ride,a smooth transition of power,the smooth running of the office
trick,try a dirty trick,play tricks on him,a magic trick
politician,a leading politician,the country's elected politicians,arrest the corrupt politician
upset,be deeply upset about it,wake up with an upset stomach,feel very upset
swing,kids playing on the swings,a big swing towards the ideology,suffer from mood swings
softly,speak very softly,cry softly,sing softly to the baby
transport,travel on public transport,have your own transport,the only means of transport
humor,have a sense of humor,moments of black humor,with his own brand of humor
legal,perfectly legal,seek legal advice,a legal requirement
relatively,relatively recent phenomena,is relatively easy to use,relatively speaking
conclusion,a logical conclusion,jump to a conclusion,reach a conclusion
ban,seek a total ban on smoking,impose a ban on nuclear testing,call for a ban on gun ownership
necessarily,necessarily involves,does not necessarily mean,is not necessarily true
pen,a pen-and-ink drawing,with a stroke of his pen,fill out the form in pen
boot,put on their rubber boots,need a new pair of leather boots,boots caked with mud
pot,a melting pot of races,make a pot of coffee,herbs growing in pots
shortly,is due to arrive shortly,shortly after his arrival,shortly before her departure
grave,be buried in a mass grave,dig your own grave,take the secret to the grave
cash,pay fines in cash,is strapped for cash to pay taxes,raise cash for the needy
attach,attach a photo to the form,attach great importance to health,become attached to the children
port,a small fishing port,was about to leave port,my first port of call
strategy,the most effective strategy,develop new strategies,a strategy for dealing with crime
cast,cast new light on the theory,cast serious doubt on the news,cast a shadow over the ceremony
perception,drugs that alter perception,the public perception of the leader,visual perception
text,store 500 pages of text,send you a text message,the full text of his speech
odd,do odd jobs for neighbors,was an odd thing to say,wear odd socks
encounter,his first encounter with her,after a chance encounter at the hotel,a close encounter with a snake
locate,precisely locate the source of the signal,be located in an earthquake zone,be conveniently located near the station
wise,a wise move,a wise precaution,a wise investment
reward,give them rewards for passing exams,reap the rewards of all her hard work,offer a reward of $20000
honest,make an honest living,to be (perfectly) honest,want my honest opinion
mood,be in a good mood,sudden mood swings,be in no mood for a joke
promote,promote trade between,be promoted to senior manager,promote her new book
philosophy,our management philosophy,the philosophy of science,my philosophy of life
stock,have a huge stock of CDs,invest in the stock market,efforts to conserve fish stock
media,the mass media,attract a lot of media attention,be reported in the media
immediate,in the immediate future,an immediate danger of war,solve the most immediate problem
observation,know from personal observation,keep him under observation,based on direct observation
cow,cows mooing in the barn,a herd of dairy cows,a well-known breed of beef cow
wooden,a wooden bench,sit on a wooden chair,a polished wooden floor
entrance,the main entrance to the store,make a dramatic entrance into,an entrance examination
continent,the African continent,travel across the continent,migrate from the continent
lecture,deliver a public lecture on,give lectures on physics,a long lecture about the danger
crack,see it through a crack in the door,open the door a crack,small cracks in the glass
counter,the check-in counter,the clerk at the counter,get alcohol under the counter
harm,do yourself serious harm,mean no harm,do more harm than good
lover,an animal lover,a pair of young lovers,a lover of fine wines
circumstance,in exceptional circumstances,live in difficult social circumstances,under certain circumstances
rapid,make a rapid recovery,fire five times in rapid succession,rapid population growth
mail,send the document by mail,check my mail,a mountain of mail
adventure,a great adventure,have a taste for adventure,stories of magic and adventure
rice,cook rice,a bowl of rice,rice fields
justice,pursue social justice,be brought to justice,the criminal justice system
distant,a distant memory,in the distant past,in the not too distant future
pray,pray to God for forgiveness,pray for good weather tomorrow,kneel down and pray
survival,the survival of the species,fight for survival,the survival rate of the animals
float,float on his back in the pool,float down the river,the clouds floating in the sky
elect,democratically elected,be elected by a huge majority,elect a new chairman
boss,my new boss,my old boss,be your own boss
detective,a private detective,hire a detective,a detective novel
contribution,make a major contribution to,make a contribution to society,make a positive contribution to
curtain,open the curtains,close the curtains,draw the curtains
obtain,obtain informed consent,obtain parental approval,obtain evidence illegally
colleague,a colleague of mine from the office,her former colleague,my work colleagues
vehicle,a stolen vehicle,an emergency vehicle,motor vehicles
sensitive,highly sensitive to criticism,talk about the sensitive topic,a politically sensitive issue
o'clock,set the alarm for ten o'clock,have tea at three o'clock,finish by five o'clock
folk,young folk these days,visit my folks,folk music
drawing,do a few pencil drawings,a scale drawing of the new room,make detailed drawings of animals
impress,impress on us the need for,be very impressed with the result,impress itself on my memory
volume,the total volume of traffic,turn up the volume,grow in volume
gene,the functions of human genes,disease caused by a defective gene,the ethics of gene therapy
cloth,wipe it with a damp cloth,a clean cloth for the table,a dress of the finest silk cloth
wound,suffer multiple wounds,to die of gunshot wounds,inflict serious wounds
airport,expand the local airport,an airport terminal,see her off at the airport
awful,a pretty awful taste,smell awful,an awful lot of people
pleasant,a pleasant surprise,create a pleasant atmosphere,a place with a pleasant climate
elephant,a herd of elephants,the dwindling elephant population,the African elephant
remark,in his closing remarks,make personal remarks about him,take his remarks at face value
arise,matters arising from the report,questions that arose in the process,if the need arises
ease,break the codes with ease,feel completely at ease,look ill at ease in a suit
pole,reach the South Pole,are at opposite poles on this issue,are poles apart in character
enormous,have enormous consequences,an enormous amount of money,make an enormous effort
pride,take great pride in your work,hurt your pride,is a source of national pride
urge,satisfy his urge to travel,resist a constant urge to,feel the urge for a cigarette
drama,ancient Greek drama,a night of high drama,the medical drama ER
tennis,have a game of tennis,play tennis,a member of the local tennis club
passage,walk down a narrow passage,quote a passage from the text,with the passage of time
rescue,the failed rescue attempt,come to our rescue,be on a search and rescue mission
destruction,the destruction of the forests,lead to the destruction of,stop the destruction of
gaze,fix his intense gaze on the wall,drop her gaze,meet her steady gaze
predict,predict the weather accurately,is impossible to predict with any degree of certainty,a method of predicting earthquakes
protein,a diet high in protein,essential proteins and vitamins,a valuable source of protein
cap,a baseball cap,put the cap back on the pen,place a cap on spending
taxi,go by taxi,take a taxi to the hotel,a taxi fare
laboratory,laboratory experiments,was sent to the laboratory for analysis,was confirmed by the laboratory tests
diet,the importance of a balanced diet,go on a low-fat diet,eat a healthy diet
platform,leave from platform five,a kiosk on the station platform,in the platforms of political parties
convinced,did not sound very convinced,was firmly convinced of,is not totally convinced of
grab,grab your attention,grab a quick breakfast,grab him by the collar
shore,reach the opposite shore,sit on the shore,the trees along the shore
latter,in the latter half of his life,during the latter part of May,in the latter case
firmly,firmly believe that,press firmly on the wound,grasp him firmly by the wrist
clerk,a bank clerk,a clerk in the store,a sales clerk
heaven,go to heaven,be (a) heaven on earth,be in heaven
shine,shine brightly,shine faintly through the clouds,be a shining example of
income,have a high income,people in higher income brackets,families on low incomes
excitement,be filled with excitement,a sense of excitement,cause tremendous excitement
engineer,a qualified engineer,a software engineer,a civil engineer
pink,be dressed in pink,a glowing pink,turn pink with embarrassment
traveler,a fellow traveler,an armchair traveler,advice for independent travelers
electric,get an electric shock,pay the electric,bury electric cables beneath the street
theme,the central theme of the book,the theme song of a movie,a common theme in his poetry
sake,just for the sake of argument,for heaven's sake,for the sake of his health
pile,buried under a pile of papers,have got piles of work to do,put the books in neat piles
drag,drag on for years,drag you into this mess,drag my feet
creative,your creative powers,an example of creative thinking,a creative solution to the problem
target,become a prime target for,set ambitious targets,meet the target
pipe,a blocked water pipe,a leaking gas pipe,smoke a pipe
merchant,a rich merchant,a convoy of merchant ships,a speed merchant
location,find a suitable location for,be in a good location,show the precise location of
compete,compete successfully in the market,compete for customers,compete with foreign companies
remaining,the only remaining question,the last remaining superpower,the remaining guests
actual,in actual fact,his actual words,close to the actual figure
tongue,have a loose tongue,stick out his tongue,talk in her native tongue
cave,take shelter in a cave,explore the deep cave,the entrance to a cave
purchase,make online purchases,pay for a purchase,proof of purchase
editor,a newspaper editor,the chief editor,a letter to the editor
courage,fight with great courage,take a lot of courage,must find the courage to
opposition,a widespread opposition to the war,in opposition to local interests,meet with strong opposition
ceremony,attend a grand ceremony,be present at the ceremony,perform a wedding ceremony
temple,visit a Buddhist temple,the oldest existing temple,the ancient temple under reconstruction
fiction,a writer of science fiction,separate fact from fiction,the boundaries between fact and fiction
owe,owe you for the taxi,owe him an apology,owe my friend a lot
interpret,interpret the meaning of dreams,be difficult to interpret accurately,be widely interpreted as an admission of guilt
